# Gene Family	demo_Abundance-CPM
UNMAPPED	805409
UniRef90_I9EJJ4	5813.68
UniRef90_I9EJJ4|g__Bacteroides.s__Bacteroides_vulgatus	5813.68
UniRef90_B5D0V1	3092.59
UniRef90_B5D0V1|g__Bacteroides.s__Bacteroides_vulgatus	3092.59
UniRef90_A0A395VP60	2148.13
UniRef90_A0A395VP60|g__Bacteroides.s__Bacteroides_vulgatus	2148.13
UniRef90_A0A3E4PLE2	1908.68
UniRef90_A0A3E4PLE2|g__Bacteroides.s__Bacteroides_vulgatus	1908.68
UniRef90_A0A078RIU7	1590.31
UniRef90_A0A078RIU7|g__Bacteroides.s__Bacteroides_vulgatus	1590.31
UniRef90_C6ZAS2	1482.69
UniRef90_C6ZAS2|g__Bacteroides.s__Bacteroides_vulgatus	1482.69
UniRef90_A0A3E4XFQ6	1365.73
UniRef90_A0A3E4XFQ6|g__Bacteroides.s__Bacteroides_vulgatus	1365.73
UniRef90_G1UM91	1361.57
UniRef90_G1UM91|g__Bacteroides.s__Bacteroides_vulgatus	1361.57
UniRef90_A0A396E449	1351.27
UniRef90_A0A396E449|g__Bacteroides.s__Bacteroides_vulgatus	1351.27
UniRef90_A6KZR2	1266.44
UniRef90_A6KZR2|g__Bacteroides.s__Bacteroides_vulgatus	1266.44
UniRef90_I9J2Y0	1209.29
UniRef90_I9J2Y0|g__Bacteroides.s__Bacteroides_vulgatus	1209.29
UniRef90_D4V549	1151.09
UniRef90_D4V549|g__Bacteroides.s__Bacteroides_vulgatus	1151.09
UniRef90_A0A3E4XFK9	1131.5
UniRef90_A0A3E4XFK9|g__Bacteroides.s__Bacteroides_vulgatus	1131.5
UniRef90_B5D0U7	1073.52
UniRef90_B5D0U7|g__Bacteroides.s__Bacteroides_vulgatus	1073.52
UniRef90_A0A015X489	1071.28
UniRef90_A0A015X489|g__Bacteroides.s__Bacteroides_vulgatus	1071.28
UniRef90_A0A396E704	1057.83
UniRef90_A0A396E704|g__Bacteroides.s__Bacteroides_vulgatus	1057.83
UniRef90_A0A3E4XFK3	1045.69
UniRef90_A0A3E4XFK3|g__Bacteroides.s__Bacteroides_vulgatus	1045.69
UniRef90_A0A3E4XFK5	976.048
UniRef90_A0A3E4XFK5|g__Bacteroides.s__Bacteroides_vulgatus	976.048
UniRef90_C6ZAN6	903.299
UniRef90_C6ZAN6|g__Bacteroides.s__Bacteroides_vulgatus	903.299
UniRef90_C6ZAL1	895.605
UniRef90_C6ZAL1|g__Bacteroides.s__Bacteroides_vulgatus	895.605
UniRef90_B5D0N0	893.518
UniRef90_B5D0N0|g__Bacteroides.s__Bacteroides_vulgatus	893.518
UniRef90_A0A0P0M2E3	840.319
UniRef90_A0A0P0M2E3|g__Bacteroides.s__Bacteroides_vulgatus	840.319
UniRef90_I9UBB8	821.081
UniRef90_I9UBB8|g__Bacteroides.s__Bacteroides_vulgatus	821.081
UniRef90_C6ZAR3	797.049
UniRef90_C6ZAR3|g__Bacteroides.s__Bacteroides_vulgatus	797.049
UniRef90_A0A0P0LI08	738.162
UniRef90_A0A0P0LI08|g__Bacteroides.s__Bacteroides_vulgatus	738.162
UniRef90_A0A3E4XFT8	735.893
UniRef90_A0A3E4XFT8|g__Bacteroides.s__Bacteroides_vulgatus	735.893
UniRef90_A0A3E4XFQ9	719.487
UniRef90_A0A3E4XFQ9|g__Bacteroides.s__Bacteroides_vulgatus	719.487
UniRef90_A0A076IWK0	703.316
UniRef90_A0A076IWK0|g__Bacteroides.s__Bacteroides_vulgatus	703.316
UniRef90_B6W1I3	699.137
UniRef90_B6W1I3|g__Bacteroides.s__Bacteroides_vulgatus	699.137
UniRef90_A0A076ITS7	682.135
UniRef90_A0A076ITS7|g__Bacteroides.s__Bacteroides_vulgatus	682.135
UniRef90_C9KTE0	681.39
UniRef90_C9KTE0|g__Bacteroides.s__Bacteroides_vulgatus	681.39
UniRef90_D1JWR6	669.182
UniRef90_D1JWR6|g__Bacteroides.s__Bacteroides_vulgatus	669.182
UniRef90_A0A069S2P7	658.235
UniRef90_A0A069S2P7|g__Bacteroides.s__Bacteroides_vulgatus	658.235
UniRef90_A0A3E4JCP7	652.02
UniRef90_A0A3E4JCP7|g__Bacteroides.s__Bacteroides_vulgatus	652.02
UniRef90_B6VXB6	649.169
UniRef90_B6VXB6|g__Bacteroides.s__Bacteroides_vulgatus	649.169
UniRef90_F7LXM2	638.235
UniRef90_F7LXM2|g__Bacteroides.s__Bacteroides_vulgatus	638.235
UniRef90_A0A1Q6IXK0	608.942
UniRef90_A0A1Q6IXK0|g__Bacteroides.s__Bacteroides_vulgatus	608.942
UniRef90_A0A3E4XFJ9	592.644
UniRef90_A0A3E4XFJ9|g__Bacteroides.s__Bacteroides_vulgatus	592.644
UniRef90_R5CD91	590.24
UniRef90_R5CD91|g__Bacteroides.s__Bacteroides_vulgatus	590.24
UniRef90_Q64SH0	583.638
UniRef90_Q64SH0|g__Bacteroides.s__Bacteroides_vulgatus	583.638
UniRef90_A0A3E4ZV70	579.933
UniRef90_A0A3E4ZV70|g__Bacteroides.s__Bacteroides_vulgatus	579.933
UniRef90_A0A069S3S3	572.761
UniRef90_A0A069S3S3|g__Bacteroides.s__Bacteroides_vulgatus	572.761
UniRef90_D4V4V0	568.307
UniRef90_D4V4V0|g__Bacteroides.s__Bacteroides_vulgatus	568.307
UniRef90_A0A076IQ49	563.386
UniRef90_A0A076IQ49|g__Bacteroides.s__Bacteroides_vulgatus	563.386
UniRef90_A0A174R7U9	562.89
UniRef90_A0A174R7U9|g__Bacteroides.s__Bacteroides_vulgatus	562.89
UniRef90_A0A174KU74	547.72
UniRef90_A0A174KU74|g__Bacteroides.s__Bacteroides_vulgatus	547.72
UniRef90_C6ZAS8	547.7
UniRef90_C6ZAS8|g__Bacteroides.s__Bacteroides_vulgatus	547.7
UniRef90_A0A078TAG6	541.194
UniRef90_A0A078TAG6|g__Bacteroides.s__Bacteroides_vulgatus	541.194
UniRef90_A0A076J5I1	540.309
UniRef90_A0A076J5I1|g__Bacteroides.s__Bacteroides_vulgatus	540.309
UniRef90_D4VEG4	535.906
UniRef90_D4VEG4|g__Bacteroides.s__Bacteroides_vulgatus	535.906
UniRef90_A0A1Q6IXL9	535.811
UniRef90_A0A1Q6IXL9|g__Bacteroides.s__Bacteroides_vulgatus	535.811
UniRef90_A0A0P0LHQ9	533.167
UniRef90_A0A0P0LHQ9|g__Bacteroides.s__Bacteroides_vulgatus	533.167
UniRef90_C6ZAL8	529.647
UniRef90_C6ZAL8|g__Bacteroides.s__Bacteroides_vulgatus	529.647
UniRef90_A0A0P0L353	528.473
UniRef90_A0A0P0L353|g__Bacteroides.s__Bacteroides_vulgatus	528.473
UniRef90_D1K9I6	510.716
UniRef90_D1K9I6|g__Bacteroides.s__Bacteroides_vulgatus	510.716
UniRef90_A0A395UK03	506.643
UniRef90_A0A395UK03|g__Bacteroides.s__Bacteroides_vulgatus	506.643
UniRef90_A0A174QUM5	505.786
UniRef90_A0A174QUM5|g__Bacteroides.s__Bacteroides_vulgatus	505.786
UniRef90_A0A076J5U1	504.204
UniRef90_A0A076J5U1|g__Bacteroides.s__Bacteroides_vulgatus	504.204
UniRef90_D4V7E2	493.124
UniRef90_D4V7E2|g__Bacteroides.s__Bacteroides_vulgatus	493.124
UniRef90_A0A0K2HIA2	492.894
UniRef90_A0A0K2HIA2|g__Bacteroides.s__Bacteroides_vulgatus	492.894
UniRef90_E5UZP2	488.436
UniRef90_E5UZP2|g__Bacteroides.s__Bacteroides_vulgatus	488.436
UniRef90_A0A0P0M5L3	485.607
UniRef90_A0A0P0M5L3|g__Bacteroides.s__Bacteroides_vulgatus	485.607
UniRef90_A0A069S4W8	467.769
UniRef90_A0A069S4W8|g__Bacteroides.s__Bacteroides_vulgatus	467.769
UniRef90_A0A0P0LCY3	458.762
UniRef90_A0A0P0LCY3|g__Bacteroides.s__Bacteroides_vulgatus	458.762
UniRef90_A0A174N3R8	455.763
UniRef90_A0A174N3R8|g__Bacteroides.s__Bacteroides_vulgatus	455.763
UniRef90_A6L5G7	452.587
UniRef90_A6L5G7|g__Bacteroides.s__Bacteroides_vulgatus	452.587
UniRef90_A0A076J5W7	450.995
UniRef90_A0A076J5W7|g__Bacteroides.s__Bacteroides_vulgatus	450.995
UniRef90_A0A0P0LHJ3	439.405
UniRef90_A0A0P0LHJ3|g__Bacteroides.s__Bacteroides_vulgatus	439.405
UniRef90_A6L083	437.133
UniRef90_A6L083|g__Bacteroides.s__Bacteroides_vulgatus	437.133
UniRef90_A0A380ZJN2	436.551
UniRef90_A0A380ZJN2|g__Bacteroides.s__Bacteroides_vulgatus	436.551
UniRef90_A0A0P0LK20	432.93
UniRef90_A0A0P0LK20|g__Bacteroides.s__Bacteroides_vulgatus	432.93
UniRef90_A0A396ARN2	424.44
UniRef90_A0A396ARN2|g__Bacteroides.s__Bacteroides_vulgatus	424.44
UniRef90_D4V7C3	415.768
UniRef90_D4V7C3|g__Bacteroides.s__Bacteroides_vulgatus	415.768
UniRef90_A0A1H7HSD9	414.153
UniRef90_A0A1H7HSD9|g__Bacteroides.s__Bacteroides_vulgatus	414.153
UniRef90_R7P2X9	411.943
UniRef90_R7P2X9|g__Bacteroides.s__Bacteroides_vulgatus	411.943
UniRef90_A0A1Y3ZIE4	411.193
UniRef90_A0A1Y3ZIE4|g__Bacteroides.s__Bacteroides_vulgatus	411.193
UniRef90_A0A396F407	403.614
UniRef90_A0A396F407|g__Bacteroides.s__Bacteroides_vulgatus	403.614
UniRef90_C3R9T2	402.614
UniRef90_C3R9T2|g__Bacteroides.s__Bacteroides_vulgatus	402.614
UniRef90_A0A174J4M2	402.105
UniRef90_A0A174J4M2|g__Bacteroides.s__Bacteroides_vulgatus	402.105
UniRef90_Q650G5	401.87
UniRef90_Q650G5|g__Bacteroides.s__Bacteroides_vulgatus	401.87
UniRef90_A0A1H7IC77	397.918
UniRef90_A0A1H7IC77|g__Bacteroides.s__Bacteroides_vulgatus	397.918
UniRef90_A0A0K2HIG2	394.298
UniRef90_A0A0K2HIG2|g__Bacteroides.s__Bacteroides_vulgatus	394.298
UniRef90_E5UQ30	392.031
UniRef90_E5UQ30|g__Bacteroides.s__Bacteroides_vulgatus	392.031
UniRef90_I8ZQ06	391.329
UniRef90_I8ZQ06|g__Bacteroides.s__Bacteroides_vulgatus	391.329
UniRef90_B0NQA3	388.893
UniRef90_B0NQA3|g__Bacteroides.s__Bacteroides_vulgatus	388.893
UniRef90_A0A0P0M1A3	384.948
UniRef90_A0A0P0M1A3|g__Bacteroides.s__Bacteroides_vulgatus	384.948
UniRef90_A0A1T4IYC5	382.475
UniRef90_A0A1T4IYC5|g__Bacteroides.s__Bacteroides_vulgatus	382.475
UniRef90_S0F753	379.862
UniRef90_S0F753|g__Bacteroides.s__Bacteroides_vulgatus	379.862
UniRef90_A0A076IME4	376.448
UniRef90_A0A076IME4|g__Bacteroides.s__Bacteroides_vulgatus	376.448
UniRef90_A6L5J5	375.719
UniRef90_A6L5J5|g__Bacteroides.s__Bacteroides_vulgatus	375.719
UniRef90_A0A0M0N1A8	375.692
UniRef90_A0A0M0N1A8|g__Bacteroides.s__Bacteroides_vulgatus	375.692
UniRef90_A0A076J6J3	373.053
UniRef90_A0A076J6J3|g__Bacteroides.s__Bacteroides_vulgatus	373.053
UniRef90_A0A076IPF6	370.706
UniRef90_A0A076IPF6|g__Bacteroides.s__Bacteroides_vulgatus	370.706
UniRef90_A0A3E5EGN1	370.335
UniRef90_A0A3E5EGN1|g__Bacteroides.s__Bacteroides_vulgatus	370.335
UniRef90_E6SQG4	369.468
UniRef90_E6SQG4|g__Bacteroides.s__Bacteroides_vulgatus	369.468
UniRef90_A0A174Q9Z0	368.604
UniRef90_A0A174Q9Z0|g__Bacteroides.s__Bacteroides_vulgatus	368.604
UniRef90_A0A174L9Z9	368.072
UniRef90_A0A174L9Z9|g__Bacteroides.s__Bacteroides_vulgatus	368.072
UniRef90_A6L2V6	367.85
UniRef90_A6L2V6|g__Bacteroides.s__Bacteroides_vulgatus	367.85
UniRef90_A0A3E5HCD5	365.365
UniRef90_A0A3E5HCD5|g__Bacteroides.s__Bacteroides_vulgatus	365.365
UniRef90_A6L2W9	360.784
UniRef90_A6L2W9|g__Bacteroides.s__Bacteroides_vulgatus	360.784
UniRef90_A0A076J249	358.638
UniRef90_A0A076J249|g__Bacteroides.s__Bacteroides_vulgatus	358.638
UniRef90_A0A078QYJ8	358.308
UniRef90_A0A078QYJ8|g__Bacteroides.s__Bacteroides_vulgatus	358.308
UniRef90_A6L6X5	357.904
UniRef90_A6L6X5|g__Bacteroides.s__Bacteroides_vulgatus	357.904
UniRef90_A0A174LZM2	355.318
UniRef90_A0A174LZM2|g__Bacteroides.s__Bacteroides_vulgatus	355.318
UniRef90_A0A0M1W4E7	354.954
UniRef90_A0A0M1W4E7|g__Bacteroides.s__Bacteroides_vulgatus	354.954
UniRef90_D4VDF7	351.665
UniRef90_D4VDF7|g__Bacteroides.s__Bacteroides_vulgatus	351.665
UniRef90_A0A0N7J836	351.305
UniRef90_A0A0N7J836|g__Bacteroides.s__Bacteroides_vulgatus	351.305
UniRef90_A0A076IMM1	348.258
UniRef90_A0A076IMM1|g__Bacteroides.s__Bacteroides_vulgatus	348.258
UniRef90_A0A1Y3ZL52	348.015
UniRef90_A0A1Y3ZL52|g__Bacteroides.s__Bacteroides_vulgatus	348.015
UniRef90_B5D0L4	345.562
UniRef90_B5D0L4|g__Bacteroides.s__Bacteroides_vulgatus	345.562
UniRef90_A0A397WCV4	344.378
UniRef90_A0A397WCV4|g__Bacteroides.s__Bacteroides_vulgatus	344.378
UniRef90_A0A078SXL7	343.58
UniRef90_A0A078SXL7|g__Bacteroides.s__Bacteroides_vulgatus	343.58
UniRef90_A0A0K2HHQ4	343.175
