# Gene Familys	demo_Abundance-RPKs
UNMAPPED	118306.0000000000
UniRef90_I9EJJ4	853.9682539683
UniRef90_I9EJJ4|g__Bacteroides.s__Bacteroides_vulgatus	853.9682539683
UniRef90_B5D0V1	454.2685520331
UniRef90_B5D0V1|g__Bacteroides.s__Bacteroides_vulgatus	454.2685520331
UniRef90_A0A395VP60	315.5374087047
UniRef90_A0A395VP60|g__Bacteroides.s__Bacteroides_vulgatus	315.5374087047
UniRef90_A0A3E4PLE2	280.3652717582
UniRef90_A0A3E4PLE2|g__Bacteroides.s__Bacteroides_vulgatus	280.3652717582
UniRef90_A0A078RIU7	233.5992907801
UniRef90_A0A078RIU7|g__Bacteroides.s__Bacteroides_vulgatus	233.5992907801
UniRef90_C6ZAS2	217.7908733931
UniRef90_C6ZAS2|g__Bacteroides.s__Bacteroides_vulgatus	217.7908733931
UniRef90_A0A3E4XFQ6	200.6107912997
UniRef90_A0A3E4XFQ6|g__Bacteroides.s__Bacteroides_vulgatus	200.6107912997
UniRef90_G1UM91	200.0000000000
UniRef90_G1UM91|g__Bacteroides.s__Bacteroides_vulgatus	200.0000000000
UniRef90_A0A396E449	198.4870406363
UniRef90_A0A396E449|g__Bacteroides.s__Bacteroides_vulgatus	198.4870406363
UniRef90_A6KZR2	186.0265191586
UniRef90_A6KZR2|g__Bacteroides.s__Bacteroides_vulgatus	186.0265191586
UniRef90_I9J2Y0	177.6315789474
UniRef90_I9J2Y0|g__Bacteroides.s__Bacteroides_vulgatus	177.6315789474
UniRef90_D4V549	169.0830993748
UniRef90_D4V549|g__Bacteroides.s__Bacteroides_vulgatus	169.0830993748
UniRef90_A0A3E4XFK9	166.2058113914
UniRef90_A0A3E4XFK9|g__Bacteroides.s__Bacteroides_vulgatus	166.2058113914
UniRef90_B5D0U7	157.6892361978
UniRef90_B5D0U7|g__Bacteroides.s__Bacteroides_vulgatus	157.6892361978
UniRef90_A0A015X489	157.3600563068
UniRef90_A0A015X489|g__Bacteroides.s__Bacteroides_vulgatus	157.3600563068
UniRef90_A0A396E704	155.3846529439
UniRef90_A0A396E704|g__Bacteroides.s__Bacteroides_vulgatus	155.3846529439
UniRef90_A0A3E4XFK3	153.6000425914
UniRef90_A0A3E4XFK3|g__Bacteroides.s__Bacteroides_vulgatus	153.6000425914
UniRef90_A0A3E4XFK5	143.3710925137
UniRef90_A0A3E4XFK5|g__Bacteroides.s__Bacteroides_vulgatus	143.3710925137
UniRef90_C6ZAN6	132.6849953508
UniRef90_C6ZAN6|g__Bacteroides.s__Bacteroides_vulgatus	132.6849953508
UniRef90_C6ZAL1	131.5547977719
UniRef90_C6ZAL1|g__Bacteroides.s__Bacteroides_vulgatus	131.5547977719
UniRef90_B5D0N0	131.2482639080
UniRef90_B5D0N0|g__Bacteroides.s__Bacteroides_vulgatus	131.2482639080
UniRef90_A0A0P0M2E3	123.4339693086
UniRef90_A0A0P0M2E3|g__Bacteroides.s__Bacteroides_vulgatus	123.4339693086
UniRef90_I9UBB8	120.6081081081
UniRef90_I9UBB8|g__Bacteroides.s__Bacteroides_vulgatus	120.6081081081
UniRef90_C6ZAR3	117.0779997359
UniRef90_C6ZAR3|g__Bacteroides.s__Bacteroides_vulgatus	117.0779997359
UniRef90_A0A0P0LI08	108.4281175686
UniRef90_A0A0P0LI08|g__Bacteroides.s__Bacteroides_vulgatus	108.4281175686
UniRef90_A0A3E4XFT8	108.0949349624
UniRef90_A0A3E4XFT8|g__Bacteroides.s__Bacteroides_vulgatus	108.0949349624
UniRef90_A0A3E4XFQ9	105.6849612540
UniRef90_A0A3E4XFQ9|g__Bacteroides.s__Bacteroides_vulgatus	105.6849612540
UniRef90_A0A076IWK0	103.3096167308
UniRef90_A0A076IWK0|g__Bacteroides.s__Bacteroides_vulgatus	103.3096167308
UniRef90_B6W1I3	102.6958244987
UniRef90_B6W1I3|g__Bacteroides.s__Bacteroides_vulgatus	102.6958244987
UniRef90_A0A076ITS7	100.1983246333
UniRef90_A0A076ITS7|g__Bacteroides.s__Bacteroides_vulgatus	100.1983246333
UniRef90_C9KTE0	100.0889684553
UniRef90_C9KTE0|g__Bacteroides.s__Bacteroides_vulgatus	100.0889684553
UniRef90_D1JWR6	98.2957562794
UniRef90_D1JWR6|g__Bacteroides.s__Bacteroides_vulgatus	98.2957562794
UniRef90_A0A069S2P7	96.6877973578
UniRef90_A0A069S2P7|g__Bacteroides.s__Bacteroides_vulgatus	96.6877973578
UniRef90_A0A3E4JCP7	95.7747732439
UniRef90_A0A3E4JCP7|g__Bacteroides.s__Bacteroides_vulgatus	95.7747732439
UniRef90_B6VXB6	95.3560996529
UniRef90_B6VXB6|g__Bacteroides.s__Bacteroides_vulgatus	95.3560996529
UniRef90_F7LXM2	93.7500000000
UniRef90_F7LXM2|g__Bacteroides.s__Bacteroides_vulgatus	93.7500000000
UniRef90_A0A1Q6IXK0	89.4470617573
UniRef90_A0A1Q6IXK0|g__Bacteroides.s__Bacteroides_vulgatus	89.4470617573
UniRef90_A0A3E4XFJ9	87.0530759019
UniRef90_A0A3E4XFJ9|g__Bacteroides.s__Bacteroides_vulgatus	87.0530759019
UniRef90_R5CD91	86.7000589538
UniRef90_R5CD91|g__Bacteroides.s__Bacteroides_vulgatus	86.7000589538
UniRef90_Q64SH0	85.7302658840
UniRef90_Q64SH0|g__Bacteroides.s__Bacteroides_vulgatus	85.7302658840
UniRef90_A0A3E4ZV70	85.1859498509
UniRef90_A0A3E4ZV70|g__Bacteroides.s__Bacteroides_vulgatus	85.1859498509
UniRef90_A0A069S3S3	84.1325021763
UniRef90_A0A069S3S3|g__Bacteroides.s__Bacteroides_vulgatus	84.1325021763
UniRef90_D4V4V0	83.4782608696
UniRef90_D4V4V0|g__Bacteroides.s__Bacteroides_vulgatus	83.4782608696
UniRef90_A0A076IQ49	82.7554021913
UniRef90_A0A076IQ49|g__Bacteroides.s__Bacteroides_vulgatus	82.7554021913
UniRef90_A0A174R7U9	82.6825176944
UniRef90_A0A174R7U9|g__Bacteroides.s__Bacteroides_vulgatus	82.6825176944
