# Pathway	demo_Abundance
UNMAPPED	abcdef
UNINTEGRATED	abcdef
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	abcdef
PWY-6700: queuosine biosynthesis I (de novo)	abcdef
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_vulgatus	abcdef
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	abcdef
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Bacteroides.s__Bacteroides_vulgatus	abcdef
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	abcdef
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Bacteroides.s__Bacteroides_vulgatus	abcdef
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	abcdef
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	abcdef
